200 3734
1 80 982
1 163 8164
1 170 2620
1 145 648
1 200 8021
1 173 2069
1 92 647
1 26 4122
1 140 546
1 11 1913
1 160 6461
1 27 7905
1 40 9047
1 150 2183
1 61 9146
1 159 7420
1 198 1724
1 114 508
1 104 6647
1 30 4612
1 99 2367
1 138 7896
1 169 8700
1 49 2437
1 125 2909
1 117 2597
1 55 6399
2 42 1689
2 127 9365
2 5 8026
2 170 9342
2 131 7005
2 172 1438
2 34 315
2 30 2455
2 26 2328
2 6 8847
2 11 1873
2 17 5409
2 157 8643
2 159 1397
2 142 7731
2 182 7908
2 93 8177
3 57 1239
3 101 3381
3 43 7313
3 41 7212
3 91 2483
3 31 3031
3 167 3877
3 106 6521
3 76 7729
3 122 9640
3 144 285
3 44 2165
3 6 9006
3 177 7097
3 119 7711
4 162 3924
4 70 5285
4 195 2490
4 72 6508
4 126 2625
4 121 7639
4 31 399
4 118 3626
4 90 9446
4 127 6808
4 135 7582
4 159 6133
4 106 4769
4 52 9267
4 190 7536
4 78 8058
4 75 7044
4 116 6771
4 49 619
4 107 4383
4 89 6363
4 54 313
5 200 4009
5 112 1522
5 25 3496
5 23 9432
5 64 7836
5 56 8262
5 120 1862
5 2 8026
5 90 8919
5 142 1195
5 81 2469
5 182 8806
5 17 2514
5 83 8407
5 146 5308
5 147 1087
5 51 22
6 141 8200
6 98 5594
6 66 6627
6 159 9500
6 143 3110
6 129 8525
6 118 8547
6 88 2039
6 83 4949
6 165 6473
6 162 6897
6 184 8021
6 123 13
6 176 3512
6 195 2233
6 42 7265
6 47 274
6 132 1514
6 2 8847
6 171 3722
6 3 9006
7 156 7027
7 187 9522
7 87 4976
7 121 8739
7 56 6616
7 10 2904
7 71 8206
7 53 179
7 146 4823
7 165 6019
7 125 5670
7 27 4888
7 63 9920
7 150 9031
7 84 4061
8 152 1257
8 189 2780
8 58 4708
8 26 8342
8 199 1918
8 31 3987
8 35 3160
8 71 5829
8 27 3483
8 69 8815
8 130 55
8 168 2076
8 122 5338
8 73 4528
8 28 9996
8 17 3535
8 40 3193
8 72 7308
8 24 8434
8 87 2833
8 25 3949
8 175 1022
8 177 8508
9 152 1087
9 115 7827
9 17 7002
9 72 794
9 150 4539
9 190 3613
9 95 9480
9 36 5284
9 166 8702
9 63 1753
9 199 70
9 131 700
9 76 9340
9 70 2
9 139 8701
9 140 4163
9 180 5995
10 57 9988
10 78 3771
10 62 4816
10 137 5273
10 7 2904
10 187 4786
10 184 3207
10 96 807
10 31 1184
10 88 2539
10 135 4650
10 168 9495
10 164 3866
10 11 8988
10 116 1493
10 51 5578
10 171 2029
11 1 1913
11 185 2045
11 77 815
11 22 8425
11 181 8448
11 47 8727
11 81 7299
11 150 4802
11 178 1696
11 28 2275
11 183 594
11 131 833
11 157 8497
11 25 5057
11 59 3203
11 10 8988
11 2 1873
11 134 294
11 83 4211
11 124 6180
12 78 5753
12 17 4602
12 62 5676
12 16 8068
12 60 5933
12 67 371
12 71 6734
12 53 7001
12 72 3626
12 34 6690
12 59 761
12 18 1520
12 128 7542
12 38 6699
12 57 9416
13 144 9987
13 59 9801
13 97 7026
13 50 758
13 43 5400
13 163 3870
13 178 4194
13 151 9629
13 45 1794
13 105 6821
13 29 2784
13 172 2070
13 57 6850
13 77 8638
13 135 861
14 149 4352
14 187 4874
14 26 3841
14 128 9662
14 155 4446
14 118 373
14 123 2733
14 106 7912
14 169 4333
14 53 9197
14 161 4275
14 126 9602
14 73 4106
14 160 7860
14 131 358
14 141 4477
14 119 960
14 43 3199
14 47 7898
14 175 6718
14 177 6741
14 60 2464
14 127 5682
14 31 1945
14 143 5848
14 94 3551
14 82 3283
15 42 1789
15 22 3571
15 25 7019
15 163 818
15 56 2334
15 100 809
15 143 1041
15 107 4589
15 190 6854
15 169 7485
15 94 9606
15 34 7961
15 54 8983
15 157 2136
15 24 8040
16 200 2848
16 198 2223
16 92 2896
16 18 8663
16 27 8673
16 75 4116
16 150 1680
16 36 1555
16 41 2747
16 90 4558
16 68 5894
16 12 8068
16 42 2596
16 185 6280
16 171 3482
16 109 1469
16 127 9807
16 178 1714
16 35 839
16 56 9828
16 134 5203
16 55 6680
16 110 4252
17 26 1275
17 45 5114
17 142 8016
17 83 4615
17 140 6440
17 8 3535
17 69 3610
17 153 8545
17 9 7002
17 12 4602
17 173 7312
17 114 8915
17 108 1942
17 54 3115
17 66 6176
17 190 7000
17 70 3899
17 5 2514
17 178 7464
17 166 4762
17 2 5409
17 146 5362
17 117 6266
18 57 4216
18 80 5252
18 86 7517
18 62 1926
18 120 44
18 173 7256
18 133 2702
18 148 589
18 167 7625
18 16 8663
18 170 4989
18 118 6388
18 142 332
18 95 6122
18 99 5717
18 154 453
18 150 5150
18 149 2664
18 146 9000
18 171 4403
18 111 785
18 12 1520
19 33 6938
19 77 7013
19 187 107
19 109 8397
19 88 2002
19 95 8691
19 132 3157
19 195 5038
19 154 4320
19 23 8560
19 152 9751
19 185 5896
19 119 7406
19 160 3997
19 80 62
20 66 2667
20 173 2676
20 43 8105
20 135 6434
20 33 6387
20 74 6183
20 106 8785
20 75 2484
20 130 9048
20 56 7194
20 50 9507
20 88 3014
20 124 392
20 61 2580
20 90 7372
20 92 1704
20 87 2639
20 154 2398
20 41 4203
20 85 1435
20 169 5990
20 166 6086
20 28 2234
20 145 8099
21 23 5183
21 40 2199
21 31 2556
21 71 4986
21 165 2151
21 193 494
21 154 1845
21 111 3060
21 85 2880
21 101 2775
21 182 2447
21 80 9884
21 87 2681
21 102 6643
21 131 3748
22 92 5592
22 64 4257
22 11 8425
22 24 594
22 15 3571
22 42 3783
22 41 1374
22 114 9960
22 144 9362
22 146 3620
22 71 3243
22 143 8603
22 131 6075
22 192 4606
22 108 9656
22 168 4356
22 177 8713
22 132 1560
23 143 7543
23 161 6863
23 45 8074
23 165 208
23 21 5183
23 118 5079
23 40 8336
23 27 9054
23 112 3201
23 135 4560
23 167 2133
23 188 4236
23 166 8077
23 195 3179
23 48 4485
23 137 7591
23 99 6485
23 5 9432
23 71 3316
23 96 2431
23 125 922
23 19 8560
24 141 6862
24 197 9337
24 66 5879
24 59 6941
24 70 4670
24 55 4106
24 103 8083
24 61 7906
24 48 7959
24 151 784
24 177 393
24 102 8731
24 199 2838
24 73 3509
24 8 8434
24 187 9327
24 22 594
24 150 5669
24 164 7312
24 157 9540
24 15 8040
25 115 9233
25 197 3875
25 185 3573
25 72 2332
25 104 4899
25 137 5378
25 8 3949
25 5 3496
25 77 2729
25 136 9251
25 143 108
25 83 9569
25 15 7019
25 48 3214
25 155 3242
25 153 2477
25 129 3005
25 132 219
25 11 5057
25 37 1591
25 68 4188
26 14 3841
26 8 8342
26 1 4122
26 147 5759
26 113 5553
26 157 7
26 65 9434
26 116 4221
26 66 2747
26 138 7027
26 145 6697
26 130 5706
26 60 701
26 127 9896
26 136 7200
26 17 1275
26 120 5788
26 175 6165
26 70 9252
26 95 36
26 106 6940
26 2 2328
26 96 425
26 51 9329
26 183 4842
26 196 6754
27 23 9054
27 78 3066
27 8 3483
27 1 7905
27 152 2124
27 108 9929
27 63 3896
27 151 5915
27 111 3101
27 34 8912
27 182 6234
27 133 7749
27 16 8673
27 192 5344
27 114 714
27 168 1578
27 175 210
27 138 5918
27 7 4888
27 122 84
28 8 9996
28 188 3816
28 116 2638
28 132 5604
28 20 2234
28 178 3642
28 76 3705
28 122 9165
28 184 4164
28 198 366
28 161 9217
28 160 9059
28 56 5375
28 120 8874
28 11 2275
28 111 4495
28 193 9441
28 157 6880
28 48 2803
29 78 8190
29 144 6452
29 114 9478
29 156 5083
29 62 9692
29 121 4537
29 184 9797
29 109 6873
29 153 5446
29 67 3449
