70 188
1 2 133 
2 3 196 
3 4 70 
3 5 70 
5 6 55 
6 7 50 
7 4 100 
4 8 45 
8 9 50 
10 8 20 
9 11 84 
12 9 50 
12 13 60 
13 14 50 
14 15 60 
16 15 60 
3 17 50 
17 10 110 
17 18 10 
8 19 30 
19 12 50 
9 20 46 
20 11 60 
21 20 27 
21 11 37 
11 22 94 
22 23 33 
12 24 62 
15 25 36 
26 13 49 
27 26 30 
3 28 14 
28 29 40 
29 30 60 
29 31 42 
32 28 15 
32 33 44 
33 30 57 
3 31 66 
31 5 40 
18 34 40 
34 10 100 
10 20 25 
23 35 50 
23 36 80 
36 35 50 
35 15 40 
35 37 25 
37 38 20 
38 39 30 
38 40 33 
40 41 33 
41 42 20 
41 39 10 
42 43 35 
43 44 50 
44 45 34 
45 46 34 
46 47 30 
47 48 35 
48 49 12 
49 50 25 
50 51 85 
51 43 58 
51 48 60 
52 15 30 
53 16 20 
14 54 22 
54 53 35 
54 16 40 
36 55 20 
1 56 70 
37 57 10 
37 58 6 
59 37 7 
38 60 45 
60 61 33 
61 62 45 
62 51 27 
26 63 20 
52 35 30 
15 24 70 
52 24 50 
43 45 40 
45 47 30 
35 39 44 
46 64 84 
64 65 80 
65 66 33 
66 67 58 
67 68 20 
68 69 60 
44 39 30 
70 4 20
2 1 133 
3 2 196 
4 3 70 
5 3 70 
6 5 55 
7 6 50 
4 7 100 
8 4 45 
9 8 50 
8 10 20 
11 9 84 
9 12 50 
13 12 60 
14 13 50 
15 14 60 
15 16 60 
17 3 50 
10 17 110 
18 17 10 
19 8 30 
12 19 50 
20 9 46 
11 20 60 
20 21 27 
11 21 37 
22 11 94 
23 22 33 
24 12 62 
25 15 36 
13 26 49 
26 27 30 
28 3 14 
29 28 40 
30 29 60 
31 29 42 
28 32 15 
33 32 44 
30 33 57 
31 3 66 
5 31 40 
34 18 40 
10 34 100 
20 10 25 
35 23 50 
36 23 80 
35 36 50 
15 35 40 
37 35 25 
38 37 20 
39 38 30 
40 38 33 
41 40 33 
42 41 20 
39 41 10 
43 42 35 
44 43 50 
45 44 34 
46 45 34 
47 46 30 
48 47 35 
49 48 12 
50 49 25 
51 50 85 
43 51 58 
48 51 60 
15 52 30 
16 53 20 
54 14 22 
53 54 35 
16 54 40 
55 36 20 
56 1 70 
57 37 10 
58 37 6 
37 59 7 
60 38 45 
61 60 33 
62 61 45 
51 62 27 
63 26 20 
35 52 30 
24 15 70 
24 52 50 
45 43 40 
47 45 30 
39 35 44 
64 46 84 
65 64 80 
66 65 33 
67 66 58 
68 67 20 
69 68 60 
39 44 30
4 70 20
