id_order,customer_id,id_sale,order_date,id_subcategory,id_category,id_city,id_location
OD1,1,1,2017-11-08,1,1,1,1
OD2,2,2,2017-11-08,2,2,2,2
OD3,3,3,2017-06-12,3,3,3,3
OD4,4,4,2016-10-11,4,4,4,4
OD5,5,5,2016-10-11,5,3,5,5
OD6,6,6,2015-06-09,5,3,4,6
OD7,7,7,2015-06-09,4,4,6,7
OD8,8,8,2015-06-09,6,4,7,8
OD9,8,9,2015-06-09,7,5,8,9
OD10,9,10,2015-06-09,8,5,9,10
OD11,10,11,2015-06-09,9,6,10,11
OD12,11,12,2015-06-09,10,7,11,12
OD13,12,13,2018-04-15,11,6,12,13
OD14,13,14,2017-12-05,4,4,13,14
OD15,14,15,2016-11-22,12,7,13,15
OD16,15,16,2016-11-22,13,1,2,16
OD17,16,17,2015-11-11,8,5,4,17
OD18,17,18,2015-05-13,2,2,14,18
OD19,18,19,2015-08-27,14,7,15,19
OD20,19,20,2015-08-27,15,2,13,14
OD21,8,21,2015-08-27,2,2,1,20
OD22,16,22,2017-12-09,16,3,10,21
OD23,18,23,2017-12-09,15,2,2,16
OD24,16,24,2018-07-16,17,4,15,22
OD25,12,25,2016-09-25,10,7,5,23
OD26,9,26,2017-01-16,9,6,8,9
OD27,20,27,2017-01-16,11,6,6,7
OD28,4,28,2016-09-17,7,5,16,24
OD29,21,29,2016-09-17,15,2,2,25
OD30,22,30,2016-09-17,1,1,13,26
OD31,15,31,2016-09-17,15,2,4,27
OD32,23,32,2016-09-17,18,6,1,28
OD33,24,33,2016-09-17,13,1,6,29
OD34,25,34,2016-09-17,1,1,17,30
OD35,25,35,2018-10-19,2,2,1,31
OD36,26,36,2017-12-08,10,7,8,32
OD37,27,37,2017-12-08,15,2,18,33
OD38,28,38,2016-12-27,17,4,7,34
OD39,7,39,2016-12-27,6,4,9,35
OD40,26,40,2016-12-27,12,7,19,36
OD41,29,41,2016-12-27,2,2,11,37
OD42,17,42,2018-09-10,15,2,18,33
OD43,12,43,2017-07-17,11,6,14,18
OD44,23,44,2018-09-19,11,6,4,4
OD45,30,45,2017-03-11,7,5,2,16
OD46,31,46,2017-03-11,10,7,17,38
OD47,32,47,2015-10-20,17,4,20,39
OD48,23,48,2017-06-20,18,6,9,40
OD49,5,49,2017-06-20,18,6,21,41
OD50,30,50,2016-04-18,8,5,5,42
OD51,33,51,2016-04-18,15,2,18,33
OD52,22,52,2016-04-18,15,2,18,33
OD53,2,53,2016-04-18,8,5,22,43
OD54,34,54,2017-12-11,4,4,17,30
OD55,33,55,2017-12-11,19,4,20,44
OD56,20,56,2017-06-17,3,3,18,45
OD57,35,57,2017-06-17,20,7,2,25
OD58,36,58,2017-06-17,16,3,6,29
OD59,12,59,2017-06-17,14,7,6,29
OD60,37,60,2017-06-17,2,2,23,46
OD61,38,61,2017-06-17,1,1,24,47
OD62,28,62,2017-06-17,18,6,3,48
OD63,39,63,2016-11-24,20,7,4,6
OD64,34,64,2016-11-24,6,4,6,7
OD65,28,65,2016-11-24,10,7,17,49
OD66,20,66,2016-11-24,14,7,8,9
OD67,40,67,2016-04-30,3,3,17,38
OD68,38,68,2015-12-05,4,4,21,50
OD69,15,69,2015-12-05,3,3,16,51
OD70,13,70,2017-06-04,1,1,5,5
OD71,19,71,2017-09-18,14,7,13,26
OD72,34,72,2018-09-14,18,6,13,15
OD73,16,73,2016-04-26,11,6,22,52
OD74,41,74,2016-04-26,17,4,1,53
OD75,42,75,2016-04-26,15,2,1,53
OD76,21,76,2018-12-09,15,2,14,54
OD77,42,77,2018-12-09,19,4,5,42
OD78,25,78,2018-12-09,18,6,23,55
OD79,18,79,2015-11-26,11,6,1,31
OD80,36,80,2017-06-12,19,4,9,56
OD81,43,81,2017-06-12,2,2,13,57
OD82,44,82,2015-10-12,3,3,14,18
OD83,35,83,2015-10-12,21,1,19,58
OD84,45,84,2016-09-03,15,2,4,4
OD85,44,85,2018-11-13,19,4,14,54
OD86,28,86,2018-05-28,21,1,12,13
OD87,12,87,2018-10-26,22,3,22,43
OD88,15,88,2018-10-26,10,7,16,59
OD89,46,89,2017-04-05,23,5,3,60
OD90,9,90,2017-09-17,16,3,17,49
OD91,28,91,2017-09-17,12,7,5,23
OD92,38,92,2017-09-17,2,2,24,61
OD93,45,93,2016-01-31,3,3,17,38
OD94,47,94,2016-01-31,6,4,11,37
OD95,23,95,2016-01-31,9,6,14,54
OD96,36,96,2018-11-06,20,7,24,61
OD97,2,97,2018-11-09,3,3,5,62
OD98,12,98,2018-06-17,6,4,6,7
OD99,31,99,2017-09-06,9,6,4,17
OD100,9,100,2017-08-29,21,1,9,35
OD101,6,101,2017-08-29,8,5,23,55
OD102,38,102,2017-08-29,15,2,23,55
OD103,40,103,2017-12-01,9,6,20,39
OD104,44,104,2016-11-13,6,4,7,8
OD105,32,105,2016-11-13,16,3,10,11
OD106,35,106,2016-11-13,1,1,13,14
OD107,14,107,2018-11-23,2,2,19,63
OD108,28,108,2018-11-23,11,6,8,64
OD109,41,109,2018-11-23,10,7,8,64
OD110,37,110,2016-10-15,6,4,23,55
OD111,14,111,2018-12-25,16,3,11,65
OD112,42,112,2017-11-03,23,5,21,66
OD113,45,113,2017-11-03,13,1,12,67
OD114,40,114,2015-08-25,4,4,2,25
OD115,20,115,2015-08-25,18,6,18,45
OD116,48,116,2015-08-25,9,6,10,68
OD117,3,117,2015-08-25,19,4,14,69
OD118,42,118,2016-03-02,17,4,16,51
OD119,24,119,2016-04-05,22,3,9,56
OD120,10,120,2017-06-12,12,7,19,70
OD121,16,121,2017-06-12,17,4,8,71
OD122,1,122,2017-06-12,8,5,2,25
OD123,21,123,2017-06-12,14,7,15,22
OD124,25,124,2017-06-12,15,2,19,70
OD125,39,125,2015-12-26,23,5,17,38
OD126,34,126,2015-09-20,17,4,24,72
OD127,22,127,2018-11-05,14,7,10,11
OD128,1,128,2018-11-05,21,1,8,9
OD129,12,129,2017-11-06,22,3,14,18
OD130,13,130,2017-11-06,3,3,23,73
OD131,18,131,2018-02-02,9,6,15,22
OD132,14,132,2018-02-02,15,2,20,44
OD133,47,133,2018-02-02,20,7,7,74
OD134,22,134,2017-10-13,8,5,15,19
OD135,1,135,2017-10-13,2,2,7,8
OD136,36,136,2017-10-13,19,4,19,58
OD137,14,137,2017-10-13,21,1,16,51
OD138,4,138,2017-10-13,10,7,22,75
OD139,29,139,2017-10-13,18,6,22,75
OD140,3,140,2017-10-13,14,7,5,23
OD141,36,141,2017-09-05,7,5,3,48
OD142,49,142,2018-09-18,1,1,8,9
OD143,50,143,2018-09-18,3,3,13,14
OD144,12,144,2018-09-18,20,7,15,19
OD145,40,145,2018-12-22,14,7,15,76
OD146,29,146,2016-09-07,13,1,23,73
OD147,5,147,2015-10-22,5,3,22,77
OD148,1,148,2017-12-05,4,4,8,32
OD149,21,149,2017-12-05,2,2,15,76
OD150,45,150,2017-12-05,20,7,1,31
OD151,20,151,2017-12-05,22,3,14,54
OD152,4,152,2017-03-13,9,6,21,50
OD153,44,153,2017-03-13,11,6,11,12
OD154,47,154,2016-05-31,5,3,7,8
OD155,7,155,2016-05-31,18,6,21,50
OD156,15,156,2016-05-31,4,4,16,51
OD157,13,157,2016-05-28,11,6,23,73
OD158,35,158,2015-03-01,13,1,18,78
OD159,44,159,2017-11-20,15,2,10,21
OD160,30,160,2017-11-20,16,3,17,38
OD161,11,161,2017-05-11,15,2,5,23
OD162,40,162,2016-12-28,20,7,13,26
OD163,30,163,2017-11-16,9,6,6,7
OD164,3,164,2017-11-07,11,6,22,75
OD165,18,165,2015-09-08,3,3,7,34
OD166,2,166,2015-09-08,2,2,17,38
OD167,6,167,2015-09-08,9,6,14,54
OD168,49,168,2015-09-08,14,7,5,42
OD169,9,169,2015-09-08,21,1,16,59
OD170,12,170,2015-09-08,12,7,6,79
OD171,24,171,2015-09-08,16,3,2,16
OD172,26,172,2015-08-05,2,2,8,9
OD173,50,173,2015-08-05,16,3,8,9
OD174,16,174,2015-08-05,17,4,16,51
OD175,49,175,2015-09-14,4,4,10,21
OD176,22,176,2015-09-14,19,4,21,66
OD177,23,177,2018-04-21,21,1,2,16
OD178,48,178,2016-11-21,18,6,1,28
OD179,42,179,2016-11-21,19,4,6,29
OD180,9,180,2016-12-15,3,3,10,68
OD181,42,181,2015-12-05,11,6,14,54
