category,product_name,id_subcategory,subcategory,,subcategory_name,id_subcategory
Furniture,Bush Somerset Collection Bookcase,1,Bookcases,,Bookcases,1
Furniture,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",2,Chairs,,Chairs,2
Office Supplies,Self-Adhesive Address Labels for Typewriters by Universal,3,Labels,,Labels,3
Furniture,Bretford CR4500 Series Slim Rectangular Table,17,Tables,,Tables,4
Office Supplies,Eldon Fold 'N Roll Cart System,,Storage,,Storage,5
Furniture,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",,Furnishings,,Furnishings,6
Office Supplies,Newell 322,,Art,,Art,7
Technology,Mitel 5320 IP Phone VoIP phone,,Phones,,Phones,8
Office Supplies,DXL Angle-View Binders with Locking Rings by Samsill,,Binders,,Binders,9
Office Supplies,Belkin F5C206VTEL 6 Outlet Surge,,Appliances,,Appliances,10
Furniture,Chromcraft Rectangular Conference Tables,,Tables,,Paper,11
Technology,Konftel 250 Conference phone - Charcoal black,,Phones,,Accessories,12
Office Supplies,Xerox 1967,,Paper,,Envelopes,13
Office Supplies,Fellowes PB200 Plastic Comb Binding Machine,,Binders,,Fasteners,14
Office Supplies,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",,Appliances,,Supplies,15
Office Supplies,Storex DuraTech Recycled Plastic Frosted Binders,,Binders,,Machines,16
Office Supplies,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",,Storage,,Copiers,17
Office Supplies,Fellowes Super Stor/Drawer,,Storage,,,
Office Supplies,Newell 341,,Art,,,
Technology,Cisco SPA 501G IP Phone,,Phones,,,
Office Supplies,"Wilson Jones Hanging View Binder, White, 1""",,Binders,,,
Office Supplies,Newell 318,,Art,,,
Office Supplies,"Acco Six-Outlet Power Strip, 4' Cord Length",,Appliances,,,
Furniture,"Global Deluxe Stacking Chair, Gray",,Chairs,,,
Furniture,Bretford CR4500 Series Slim Rectangular Table,,Tables,,,
Office Supplies,Wilson Jones Active Use Binders,,Binders,,,
Technology,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,,Accessories,,,
Furniture,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",,Bookcases,,,
Office Supplies,Avery Recycled Flexi-View Covers for Binding Systems,,Binders,,,
Furniture,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",,Furnishings,,,
Office Supplies,Poly String Tie Envelopes,,Envelopes,,,
Office Supplies,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",,Art,,,
Office Supplies,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",,Binders,,,
Office Supplies,Lumber Crayons,,Art,,,
Office Supplies,Easy-staple paper,,Paper,,,
Technology,GE 30524EE4,,Phones,,,
Furniture,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",,Furnishings,,,
Office Supplies,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",,Envelopes,,,
Furniture,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",,Bookcases,,,
Furniture,"Global Fabric Manager's Chair, Dark Gray",,Chairs,,,
Technology,Plantronics HL10 Handset Lifter,,Phones,,,
Technology,Panasonic Kx-TS550,,Phones,,,
Office Supplies,"Eldon Base for stackable storage shelf, platinum",,Storage,,,
Office Supplies,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",,Storage,,,
Technology,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",,Accessories,,,
Office Supplies,Wilson Jones Leather-Like Binders with DublLock Round Rings,,Binders,,,
Office Supplies,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",,Storage,,,
Technology,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,,Accessories,,,
Technology,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",,Phones,,,
Office Supplies,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",,Binders,,,
Office Supplies,Avery 485,,Labels,,,
Furniture,Longer-Life Soft White Bulbs,,Furnishings,,,
Furniture,"Global Leather Task Chair, Black",,Chairs,,,
Office Supplies,Advantus Push Pins,,Fasteners,,,
Technology,AT&T CL83451 4-Handset Telephone,,Phones,,,
Office Supplies,Home/Office Personal File Carts,,Storage,,,
Office Supplies,Xerox 232,,Paper,,,
Furniture,Novimex Turbo Task Chair,,Chairs,,,
Office Supplies,"Array Parchment Paper, Assorted Colors",,Paper,,,
Technology,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,,Accessories,,,
Office Supplies,Plastic Binding Combs,,Binders,,,
Office Supplies,Prang Dustless Chalk Sticks,,Art,,,
Technology,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",,Accessories,,,
Office Supplies,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",,Binders,,,
Office Supplies,Xerox 1943,,Paper,,,
Furniture,Luxo Economy Swing Arm Lamp,,Furnishings,,,
Furniture,"Global Value Mid-Back Manager's Chair, Gray",,Chairs,,,
Office Supplies,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",,Art,,,
Technology,netTALK DUO VoIP Telephone Service,,Phones,,,
Office Supplies,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",,Paper,,,
Office Supplies,Avery Binding System Hidden Tab Executive Style Index Sets,,Binders,,,
Office Supplies,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",,Paper,,,
Furniture,High-Back Leather Manager's Chair,,Chairs,,,
Furniture,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",,Furnishings,,,
Office Supplies,Safco Industrial Wire Shelving System,,Storage,,,
Office Supplies,Economy Binders,,Binders,,,
Furniture,"6"" Cubicle Wall Clock, Black",,Furnishings,,,
Office Supplies,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",,Storage,,,
Furniture,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",,Furnishings,,,
Office Supplies,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",,Appliances,,,
Office Supplies,Avery Heavy-Duty EZD  Binder With Locking Rings,,Binders,,,
Office Supplies,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",,Art,,,
Office Supplies,"Sortfiler Multipurpose Personal File Organizer, Black",,Storage,,,
Office Supplies,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,,Envelopes,,,
Office Supplies,Safco Industrial Wire Shelving,,Storage,,,
Furniture,Novimex Swivel Fabric Task Chair,,Chairs,,,
Technology,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,,Accessories,,,
Office Supplies,Avery 511,,Labels,,,
Office Supplies,Eldon Portable Mobile Manager,,Storage,,,
Office Supplies,Turquoise Lead Holder with Pocket Clip,,Art,,,
Technology,Panasonic Kx-TS550,,Phones,,,
Office Supplies,Xerox 1995,,Paper,,,
Office Supplies,Xerox 1999,,Paper,,,
Furniture,"Seth Thomas 13 1/2"" Wall Clock",,Furnishings,,,
Office Supplies,Ibico Standard Transparent Covers,,Binders,,,
Office Supplies,Flexible Leather- Look Classic Collection Ring Binder,,Binders,,,
Furniture,9-3/4 Diameter Round Wall Clock,,Furnishings,,,
Office Supplies,Trimflex Flexible Post Binders,,Binders,,,
Office Supplies,Fellowes Basic Home/Office Series Surge Protectors,,Appliances,,,
Office Supplies,Avery Personal Creations Heavyweight Cards,,Paper,,,
Technology,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,,Accessories,,,
Office Supplies,Avery Hidden Tab Dividers for Binding Systems,,Binders,,,
Office Supplies,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),,Paper,,,
Technology,Logitech K350 2.4Ghz Wireless Keyboard,,Accessories,,,
Furniture,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",,Furnishings,,,
Office Supplies,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",,Binders,,,
Technology,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,,Accessories,,,
Technology,Speck Products Candyshell Flip Case,,Phones,,,
Office Supplies,Newell Chalk Holder,,Art,,,
Technology,Logitech Gaming G510s - Keyboard,,Accessories,,,
Furniture,Magnifier Swing Arm Lamp,,Furnishings,,,
Office Supplies,"Hunt PowerHouse Electric Pencil Sharpener, Blue",,Art,,,
Office Supplies,"Avery Durable Plastic 1"" Binders",,Binders,,,
Office Supplies,"OIC Colored Binder Clips, Assorted Sizes",,Fasteners,,,
Office Supplies,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",,Envelopes,,,
Office Supplies,Xerox 1921,,Paper,,,
Office Supplies,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",,Envelopes,,,
Furniture,Hon Racetrack Conference Tables,,Tables,,,
Office Supplies,GBC DocuBind 300 Electric Binding Machine,,Binders,,,
Furniture,Artistic Insta-Plaque,,Furnishings,,,
Office Supplies,DXL Angle-View Binders with Locking Rings by Samsill,,Binders,,,
Office Supplies,"Companion Letter/Legal File, Black",,Storage,,,
Office Supplies,Globe Weis Peel & Seel First Class Envelopes,,Envelopes,,,
Technology,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,,Phones,,,
Furniture,Global Deluxe High-Back Manager's Chair,,Chairs,,,
Furniture,Bevis 44 x 96 Conference Tables,,Tables,,,
Office Supplies,"Avery Durable Slant Ring Binders, No Labels",,Binders,,,
Office Supplies,"Trav-L-File Heavy-Duty Shuttle II, Black",,Storage,,,
Furniture,"Global Task Chair, Black",,Chairs,,,
Furniture,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,,Furnishings,,,
Technology,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,,Phones,,,
Office Supplies,Xerox 1916,,Paper,,,
Office Supplies,Staples,,Fasteners,,,
Office Supplies,Xerox 195,,Paper,,,
Office Supplies,Xerox 1880,,Paper,,,
Office Supplies,"Sanford Colorific Colored Pencils, 12/Box",,Art,,,
Office Supplies,Ideal Clamps,,Fasteners,,,
Office Supplies,GBC Wire Binding Strips,,Binders,,,
Office Supplies,Fiskars Softgrip Scissors,,Supplies,,,
Furniture,Longer-Life Soft White Bulbs,,Furnishings,,,
Furniture,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",,Furnishings,,,
Office Supplies,Newell 343,,Art,,,
Office Supplies,Convenience Packs of Business Envelopes,,Envelopes,,,
Office Supplies,Xerox 1911,,Paper,,,
Office Supplies,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,,Appliances,,,
Office Supplies,Safco Industrial Wire Shelving,,Storage,,,
Furniture,"Seth Thomas 14"" Putty-Colored Wall Clock",,Furnishings,,,
Technology,Plantronics Cordless Phone Headset with In-line Volume - M214C,,Phones,,,
Technology,Anker Astro 15000mAh USB Portable Charger,,Phones,,,
Furniture,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",,Chairs,,,
Office Supplies,GBC Prestige Therm-A-Bind Covers,,Binders,,,
Office Supplies,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,,Appliances,,,
